Beginner,Beginner1,1/1-10/1|1/2-10/2|1/3-10/3,15/1-25/1|15/2-25/2|15/3-25/3
Expert,Expert6,5/1-15/1|5/3-15/3,5/1-15/1|5/3-15/3
Intermediate,Intermediate8,,
Expert,Expert4,5/1-15/1|5/3-15/3,5/1-15/1|5/3-15/3
Beginner,Beginner9,1/1-10/1|1/2-10/2|1/3-10/3,15/1-25/1|15/2-25/2|15/3-25/3
Intermediate,Intermediate1,,
Expert,Expert7,5/1-15/1|5/3-15/3,5/1-15/1|5/3-15/3
Intermediate,Intermediate3,,
Expert,Expert2,5/1-15/1|5/3-15/3,5/1-15/1|5/3-15/3
Beginner,Beginner5,1/1-10/1|1/2-10/2|1/3-10/3,15/1-25/1|15/2-25/2|15/3-25/3
